workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,rpe,volume_kg,estimated_1rm,notes
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Cable Crossover,2,13.75,20,,275.0,22.916666666666664,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Cable Crossover,3,8.75,16,,140.0,13.416666666666666,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Cable Crossover,4,8.75,16,,140.0,13.416666666666666,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Lateral Raise (Cable),1,8.75,12,,105.0,12.25,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Lateral Raise (Cable),2,8.75,12,,105.0,12.25,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Lateral Raise (Cable),3,8.75,12,,105.0,12.25,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Lateral Raise (Dumbbell),1,8.0,16,,128.0,12.266666666666666,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Shoulder Press (Machine),1,45.0,15,,675.0,67.5,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Shoulder Press (Machine),2,50.0,8,,400.0,63.33333333333333,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Shoulder Press (Machine),3,50.0,9,,450.0,65.0,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Shoulder Press (Machine),4,45.0,10,,450.0,60.0,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Triceps Pushdown (Cable - Straight Bar),1,28.75,20,,575.0,47.916666666666664,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Triceps Pushdown (Cable - Straight Bar),2,32.5,16,,520.0,49.83333333333333,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Triceps Pushdown (Cable - Straight Bar),3,32.5,15,,487.5,48.75,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Bent Over Row (Barbell),1,50.0,17,,850.0,78.33333333333333,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Bent Over Row (Barbell),2,70.0,13,,910.0,100.33333333333333,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Bent Over Row (Barbell),3,70.0,12,,840.0,98.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Bent Over Row (Barbell),4,70.0,11,,770.0,95.66666666666667,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Hammer Curl (Dumbbell),1,14.0,11,,154.0,19.133333333333333,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Hammer Curl (Dumbbell),2,14.0,10,,140.0,18.666666666666664,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Hammer Curl (Dumbbell),3,14.0,12,,168.0,19.599999999999998,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Lat Pulldown (Cable),1,70.0,13,,910.0,100.33333333333333,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Lat Pulldown (Cable),2,80.0,12,,960.0,112.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Lat Pulldown (Cable),3,90.0,9,,810.0,117.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Lat Pulldown (Cable),4,80.0,13,,1040.0,114.66666666666667,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Pull Up,1,10.0,10,,100.0,13.333333333333332,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Pull Up,2,10.0,9,,90.0,13.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Pull Up,3,10.0,9,,90.0,13.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Pull Up,4,0.0,10,,0.0,0.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Reverse Fly (Machine),1,45.0,19,,855.0,73.5,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Reverse Fly (Machine),2,52.5,17,,892.5,82.25,
