workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,volume_kg,estimated_1rm,notes
325,2017-09-17 14:07:44,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Sunday,Squat (Barbell),4,124.7378,5,623.689,145.52743333333333,
325,2017-09-17 14:07:44,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Sunday,Squat (Barbell),5,133.80964,5,669.0482,156.1112466666667,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Bench Press (Barbell),1,83.91452,6,503.48712,100.697424,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Bench Press (Barbell),2,104.32616,7,730.28312,128.66893066666668,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Bench Press (Barbell),3,113.398,6,680.3879999999999,136.0776,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Bench Press (Barbell),4,115.66596,6,693.99576,138.799152,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Bench Press (Barbell),5,117.93392,7,825.5374400000001,145.45183466666668,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),1,45.3592,6,272.15520000000004,54.43104,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),2,47.627159999999996,6,285.76295999999996,57.15259199999999,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),3,88.45044,7,619.15308,109.088876,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),4,106.59412,8,852.75296,135.01921866666666,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),5,106.59412,7,746.15884,131.46608133333334,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),6,106.59412,6,639.5647200000001,127.912944,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),7,102.0582,8,816.4656,129.27372,
326,2017-09-18 21:39:00,2 - Shoulders ,2017,2017-09,2017-09-18/2017-09-24,Monday,Seated Shoulder  Press (Barbell),8,88.45044,8,707.60352,112.037224,
327,2017-09-20 19:46:03,2 - Back Heavy Chins,2017,2017-09,2017-09-18/2017-09-24,Wednesday,Chin Up,1,24.94756,9,224.52804,32.431828,
327,2017-09-20 19:46:03,2 - Back Heavy Chins,2017,2017-09,2017-09-18/2017-09-24,Wednesday,Chin Up,2,24.94756,10,249.4756,33.26341333333333,
327,2017-09-20 19:46:03,2 - Back Heavy Chins,2017,2017-09,2017-09-18/2017-09-24,Wednesday,Chin Up,3,24.94756,10,249.4756,33.26341333333333,
327,2017-09-20 19:46:03,2 - Back Heavy Chins,2017,2017-09,2017-09-18/2017-09-24,Wednesday,Chin Up,4,24.94756,10,249.4756,33.26341333333333,
327,2017-09-20 19:46:03,2 - Back Heavy Chins,2017,2017-09,2017-09-18/2017-09-24,Wednesday,Chin Up,5,0.0,15,0.0,0.0,
