"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"1";"32.5";"12";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"Rest Timer";"";"";"";"";"115.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"2";"28.75";"14";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"Rest Timer";"";"";"";"";"115.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"3";"25.0";"13";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"Rest Timer";"";"";"";"";"115.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"4";"25.0";"13";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pullover (Machine)";"Rest Timer";"";"";"";"";"115.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"1";"26.0";"20";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"90.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"2";"26.0";"18";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"90.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"3";"26.0";"17";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"90.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"4";"26.0";"17";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"90.0";"";""
