month,exercise_name,best_1rm_kg
2022-02-01,Bicep Curl (Barbell),41.3
2022-02-01,Bicep Curl (Machine),86.0
2022-02-01,Cable Crossover,18.3
2022-02-01,Chest Dip,21.0
2022-02-01,Face Pull (Cable),25.7
2022-02-01,Hammer Curl (Dumbbell),11.7
2022-02-01,Incline Bench Press (Dumbbell),46.5
2022-02-01,Lat Pulldown - Underhand (Cable),114.7
2022-02-01,Lateral Raise (Dumbbell),15.0
2022-02-01,Leg Extension (Machine),145.7
2022-02-01,Leg Press,287.0
2022-02-01,Pullover (Machine),50.9
2022-02-01,Romanian Deadlift (Barbell),105.0
2022-02-01,Seated Calf Raise (Plate Loaded),62.7
2022-02-01,Seated Leg Curl (Machine),101.8
2022-02-01,Seated Overhead Press (Dumbbell),36.4
2022-02-01,Seated Row (Cable),106.7
2022-02-01,Shoulder Press (Machine),63.0
2022-02-01,Shrug (Dumbbell),46.7
2022-02-01,Skullcrusher (Barbell),39.2
2022-02-01,Squat (Barbell),102.0
2022-02-01,Strict Military Press (Barbell),57.0
2022-02-01,Sumo Deadlift (Barbell),116.7
2022-02-01,Triceps Extension (Cable),43.1
2022-02-01,Triceps Pushdown (Cable - Straight Bar),47.9
2022-03-01,Back Extension,15.0
2022-03-01,Bench Press (Barbell),102.0
2022-03-01,Bent Over Row (Barbell),95.3
2022-03-01,Bicep Curl (Barbell),44.0
2022-03-01,Bicep Curl (Machine),86.0
2022-03-01,Bulgarian Split Squat,21.9
2022-03-01,Cable Crossover,20.2
2022-03-01,Face Pull (Cable),26.8
2022-03-01,Hip Adductor (Machine),153.8
2022-03-01,Incline Bench Press (Dumbbell),48.7
2022-03-01,Lat Pulldown - Underhand (Cable),126.0
2022-03-01,Lateral Raise (Cable),12.5
2022-03-01,Lateral Raise (Dumbbell),15.7
2022-03-01,Leg Extension (Machine),158.3
2022-03-01,Leg Press,286.7
2022-03-01,Lying Leg Curl (Machine),84.3
2022-03-01,Pull Up,19.0
2022-03-01,Pullover (Machine),53.1
